Model,N_Features,RMSE_Mean,RMSE_Std,MAE_Mean,MAE_Std,Improve_%
K6_T1_T2_T3_T6,4,8652.785770266055,5079.866728807471,7384.268055111803,4374.3391024272105,-0.7106821608874483
K6_T1,1,8657.100414784407,4964.163791130436,7407.825235483612,4263.726470539659,-0.7609007614932971
K6_T1_T2,2,8659.575957942734,4976.77400667102,7369.881934229988,4296.464700387412,-0.7897138682560428
K6_T1_T6,2,8663.249340518765,4869.388087817666,7523.428008105383,4200.064995453158,-0.8324687537798803
K6_T2_T6,2,8663.36946254878,4838.991822839146,7470.954877855303,4206.159773401841,-0.8338668667005739
K6_T1_T3_T4_T5,4,8664.059110192447,5090.089965020776,7328.373340687982,4401.300234141195,-0.8418937480412637
K6_T3_T5_T6,3,8665.067882072708,4848.923310083321,7463.600452175512,4175.581773902557,-0.8536349498811242
K6_T1_T5_T6,3,8673.134922367044,4920.060245797687,7544.855559787198,4272.637699283141,-0.9475280789417976
K6_T1_T4,2,8674.812984419392,5039.466936783467,7278.339331732654,4338.396690743424,-0.9670592193730074
K6_T2_T5_T6,3,8675.73942298348,4880.812315545243,7494.773961750301,4247.09028573078,-0.9778421351005848
K6_T4_T5_T6,3,8680.207119699444,5164.161451267771,7312.597532541567,4480.545888963754,-1.029842126305586
K6_T1_T3_T6,3,8681.290329731783,4846.739244591971,7519.663274839944,4144.988360497097,-1.0424497216138182
K6_T1_T2_T4,3,8693.905603412753,5027.248333313581,7252.04775885759,4350.021263711418,-1.189280216646148
K6_T1_T3_T4,3,8699.273249365166,4985.229296656062,7298.368659308804,4288.782927403062,-1.2517548115128299
K6_T2_T3_T4_T6,4,8701.781859594683,4999.600006990936,7272.165610619033,4287.00363370827,-1.2809527893893455
K6_T4_T6,2,8702.82218886617,5034.631716697536,7310.43655513965,4346.406581322815,-1.293061291019359
K6_T1_T2_T6,3,8705.671860301187,4869.172031246205,7548.1804853820795,4223.27908355617,-1.326228916079618
K6_T1_T3_T5_T6,4,8707.559291266134,4891.214552664012,7551.294604808463,4210.0140750687415,-1.348196923269235
K6_T3_T4_T5_T6,4,8711.04617506024,5123.072760734071,7327.491884180093,4440.909286872688,-1.3887811298870572
K6_T1_T2_T5_T6,4,8716.509355702538,4905.667390501944,7572.2925056134945,4263.7648049986,-1.4523676630408695
K6_T1_T4_T5_T6,4,8719.120529116566,5138.385225338769,7353.933256811657,4430.268495335673,-1.482759384591501
K6_T3_T4_T6,3,8721.203290433066,4973.087511134803,7303.517391228306,4275.704724931797,-1.507000862253393
K6_T1_T2_T3_T4,4,8733.146640375156,5114.59203162444,7369.25465215088,4457.392534815599,-1.6460107663339278
K6_T2_T4_T5_T6,4,8741.882047746249,5117.190333654983,7367.17134079188,4436.304198553208,-1.7476830899824636
K6_T2_T3_T5_T6,4,8748.321959811457,4943.440657959776,7369.996572453432,4243.687475062945,-1.822637902728667
K6_T1_T4_T6,3,8757.503785637908,5025.631961510311,7383.450290304482,4318.052286489568,-1.9295061376550267
K6_T2_T4_T6,3,8764.995075124836,5013.745462731155,7362.203264860518,4344.542122609551,-2.0166980426119037
K6_T1_T2_T3_T4_T5_T6,6,8765.91742512548,5118.842071399541,7371.336103159428,4424.096199318768,-2.027433371120235
K6_T1_T2_T3_T4_T5,5,8777.297610026584,5088.787055095474,7398.180697117711,4392.605433336427,-2.159888538153904
K6_T1_T3_T4_T5_T6,5,8777.29820161669,5088.78642553612,7398.181509138885,4392.605142243637,-2.1598954237332633
K6_T1_T2_T3_T5_T6,5,8777.298551165048,5088.786383246918,7398.1816521578785,4392.605360618954,-2.159899492163305
K6_T1_T2_T3_T4_T6,5,8777.298673171399,5088.7873914386455,7398.181585786113,4392.607112742214,-2.1599009122080397
K6_T1_T2_T4_T5_T6,5,8777.299139465062,5088.787270826686,7398.182406475922,4392.606643597262,-2.1599063394489417
K6_T2_T3_T4_T5_T6,5,8777.29991891121,5088.787971044942,7398.183258257706,4392.608076787656,-2.1599154115045147
K6_T1_T3_T4_T6,4,8808.009208474867,4961.890227833362,7414.428885967871,4255.967545664823,-2.5173440573470813
K6_T1_T2_T4_T6,4,8818.707431684594,5002.845742259578,7425.476689772257,4327.051643285,-2.6418618006458296
