Model,N_Features,RMSE_Mean,RMSE_Std,RMSE_Min,RMSE_Max,MAE_Mean,Folds_Better_Than_Baseline,Improve_%
K6_T3_T4,2,8791.715360684564,5447.274953848511,2421.866562461845,20777.450324800677,7738.553014664346,8,3.674718064145197
K6_T1_T2_T4_T5,4,8809.344957523008,5472.421512412868,2383.206345180185,20693.364614894654,7705.7801589331475,6,3.4815616872369337
K6_T3,1,8822.469679815948,5303.965170386717,2468.147870018733,20677.911946637763,7765.086102400901,8,3.3377623803518706
K6_T4_T5,2,8839.105310447532,5445.199198840489,2362.758510385218,20276.777994199667,7778.293034413762,8,3.15549626446577
K6_T1_T3_T4,3,8839.82238807174,5451.939139158992,2642.4698137503065,20898.75918714896,7801.710450439836,7,3.1476396970624902
K6_T2_T4_T5,3,8850.92281664938,5412.171329973658,2337.376259713707,20166.791550972215,7753.178163473844,7,3.0260193000769897
K6_T1_T3_T5,3,8866.486412892407,5338.768167645317,2656.3930372178947,20803.923279903665,7815.761498475008,7,2.855498789057086
K6_T1_T3,2,8905.175414343767,5360.907536858674,2639.34158486482,20894.14664956717,7858.238756062036,6,2.431607793986394
K6_T1_T4,2,8975.779267254013,5526.192440170584,2363.538320978346,20943.295201205256,7891.88610404019,8,1.6580458941380427
K6_T1_T2_T4,3,8987.280508534643,5515.327137639419,2163.855801118038,20923.51153119043,7869.192180410528,6,1.532034045082603
K6_T4,1,9004.316401185744,5454.593368230744,2381.38882481217,20460.484091186037,7923.3454767175845,7,1.345382510618167
K6_T2_T4,2,9006.342102949653,5452.7061374086015,2185.0924862339234,20430.927437941533,7896.928142910913,7,1.3231881736177853
K6_T2_T5,2,9012.31825067377,5279.799783345998,2385.674451959631,20156.90544987815,7916.790740790678,6,1.2577112910300978
K6_T5,1,9026.405348698865,5298.964709699875,2499.814347644004,20279.74098723104,7966.779838790602,7,1.1033678400360682
K6_T1_T2_T5,3,9073.587142078915,5373.526976333343,2442.493448855596,20651.9407887837,7988.041114806237,5,0.5864266785994322
K6_T1_T5,2,9084.241031408583,5396.647827745574,2558.8724686008113,20767.819918954483,8033.337325723825,4,0.4696987306061633
K6_T2,1,9106.338164093915,5358.823431243917,2306.6026460412863,20447.4258887008,8020.031935370219,6,0.22759438025298115
Baseline,0,9127.110955708562,5349.406635355941,2523.4259001756986,20486.579408686066,8062.855233842565,0,0.0
K6_T1_T2,2,9170.060143556824,5454.398752279096,2374.958834924382,20946.99932413199,8082.659087201842,4,-0.4705671713281803
K6_T1,1,9192.289328968025,5448.135651042394,2595.708618361392,20981.356220766716,8132.737707000325,3,-0.7141183401380393
